Posicao,ATLETA,Presenca,DATA,EF,Disttotalm,Distaltaintensidadem,MinutosTotais,PSE,PSEXMIN,DES,ACE,Trimp,days_until_match,Horário,Dia,Local,GP,GC,Oponente,Posse,Rodada,Coach
ATACANTE,ADEMIR,PRESENTE,2018-04-24,1,1125.0,61.0,85.45,4.0,341.8,28.0,28.0,77.4333333333333,6.0,,,,,,,,,Enderson Moreira
LATERAL,ADERLAN,PRESENTE,2018-04-24,3,1201.0,13.0,85.45,5.0,427.25,25.0,19.0,48.2333333333333,6.0,,,,,,,,,Enderson Moreira
ATACANTE,AYLON,PRESENTE,2018-04-24,5,1502.0,43.0,85.45,5.0,427.25,23.0,29.0,61.8666666666667,6.0,,,,,,,,,Enderson Moreira
ATACANTE,CAPIXABA,PRESENTE,2018-04-24,3,0.0,0.0,40.0,5.0,200.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
LATERAL,CARLINHOS,PRESENTE,2018-04-24,3,987.0,37.0,85.45,3.0,256.35,22.0,27.0,55.9166666666667,6.0,,,,,,,,,Enderson Moreira
VOLANTE,CHRISTIAN,PRESENTE,2018-04-24,3,1042.0,45.0,85.45,6.0,512.7,32.0,31.0,44.5166666666667,6.0,,,,,,,,,Enderson Moreira
VOLANTE,DAVID,PRESENTE,2018-04-24,3,0.0,0.0,40.0,5.0,200.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
LATERAL,FELIPE GUILHERME,PRESENTE,2018-04-24,1,0.0,0.0,40.0,5.0,200.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
MEIA,GERSON MAGRÃO,PRESENTE,2018-04-24,3,1140.0,62.0,85.45,5.0,427.25,27.0,33.0,66.9666666666667,6.0,,,,,,,,,Enderson Moreira
LATERAL,GIOVANI,PRESENTE,2018-04-24,3,0.0,0.0,40.0,4.0,160.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
ATACANTE,JUDIVAN,PRESENTE,2018-04-24,3,927.0,16.0,85.45,4.0,341.8,19.0,17.0,86.5,6.0,,,,,,,,,Enderson Moreira
VOLANTE,JUNINHO,PRESENTE,2018-04-24,3,1562.0,58.0,85.45,4.0,341.8,27.0,31.0,51.4,6.0,,,,,,,,,Enderson Moreira
VOLANTE,LEANDRO DONIZETE,PRESENTE,2018-04-24,3,1126.0,23.0,6048040.0,5.0,30240200.0,13.0,17.0,91.0,6.0,,,,,,,,,Enderson Moreira
ZAGUEIRO,LIMA,DM,2018-04-24,,0.0,0.0,40.0,,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
ATACANTE,LUAN,PRESENTE,2018-04-24,1,1620.0,29.0,85.45,5.0,427.25,24.0,27.0,78.3166666666667,6.0,,,,,,,,,Enderson Moreira
ATACANTE,MARQUINHOS,PRESENTE,2018-04-24,3,1255.0,50.0,85.45,4.0,341.8,25.0,25.0,61.55,6.0,,,,,,,,,Enderson Moreira
ZAGUEIRO,MATHEUS FERRAZ,PRESENTE,2018-04-24,3,923.0,55.0,85.45,4.0,341.8,27.0,26.0,69.15,6.0,,,,,,,,,Enderson Moreira
MEIA,MATHEUSINHO,PRESENTE,2018-04-24,5,0.0,0.0,40.0,,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
ZAGUEIRO,MESSIAS,PRESENTE,2018-04-24,3,1088.0,15.0,85.45,6.0,512.7,20.0,27.0,88.1166666666667,6.0,,,,,,,,,Enderson Moreira
LATERAL,NORBERTO,PRESENTE,2018-04-24,5,975.0,21.0,85.45,5.0,427.25,10.0,14.0,40.15,6.0,,,,,,,,,Enderson Moreira
ZAGUEIRO,RAFAEL LIMA,PRESENTE,2018-04-24,3,1127.0,22.0,85.45,4.0,341.8,24.0,26.0,62.8833333333333,6.0,,,,,,,,,Enderson Moreira
ATACANTE,RAFAEL MOURA,PRESENTE,2018-04-24,3,1291.0,41.0,85.45,4.0,341.8,22.0,23.0,59.7333333333333,6.0,,,,,,,,,Enderson Moreira
MEIA,RENAN OLIVEIRA,PRESENTE,2018-04-24,3,1097.0,53.0,85.45,5.0,427.25,24.0,26.0,30.8833333333333,6.0,,,,,,,,,Enderson Moreira
ZAGUEIRO,RICARDO,PRESENTE,2018-04-24,3,0.0,0.0,40.0,3.0,120.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
MEIA,RUY,PRESENTE,2018-04-24,2,1271.0,39.0,5760040.0,6.0,34560240.0,27.0,30.0,78.8,6.0,,,,,,,,,Enderson Moreira
MEIA,SERGINHO,DM,2018-04-24,,0.0,0.0,40.0,,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
VOLANTE,WESLEY,PRESENTE,2018-04-24,2,1317.0,32.0,85.45,5.0,427.25,27.0,27.0,63.5666666666667,6.0,,,,,,,,,Enderson Moreira
VOLANTE,ZÉ RICARDO,PRESENTE,2018-04-24,3,1159.0,74.0,85.45,4.0,341.8,28.0,31.0,80.75,6.0,,,,,,,,,Enderson Moreira
GOLEIRO,JORI,PRESENTE,2018-04-24,3,0.0,0.0,40.0,4.0,160.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
GOLEIRO,GLAUCO,PRESENTE,2018-04-24,3,0.0,0.0,40.0,5.0,200.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
GOLEIRO,JOÃO RICARDO,PRESENTE,2018-04-24,1,0.0,0.0,40.0,5.0,200.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
GOLEIRO,FERNANDO LEAL,DM,2018-04-24,3,0.0,0.0,40.0,,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
ATACANTE,ADEMIR,PRESENTE,2018-04-24,4,3878.0,250.0,59.7166666666667,5.0,298.583333333333,41.0,28.0,176.966666666667,6.0,,,,,,,,,Enderson Moreira
LATERAL,ADERLAN,PRESENTE,2018-04-24,2,3627.0,276.0,59.7166666666667,5.0,298.583333333333,44.0,19.0,135.85,6.0,,,,,,,,,Enderson Moreira
ATACANTE,AYLON,PRESENTE,2018-04-24,3,4026.0,138.0,59.7166666666667,5.0,298.583333333333,37.0,29.0,131.25,6.0,,,,,,,,,Enderson Moreira
ATACANTE,CAPIXABA,PRESENTE,2018-04-24,3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
LATERAL,CARLINHOS,PRESENTE,2018-04-24,3,3533.0,153.0,59.7166666666667,5.0,298.583333333333,44.0,27.0,125.083333333333,6.0,,,,,,,,,Enderson Moreira
VOLANTE,CHRISTIAN,PRESENTE,2018-04-24,3,3650.0,100.0,59.7166666666667,5.0,298.583333333333,60.0,31.0,124.483333333333,6.0,,,,,,,,,Enderson Moreira
VOLANTE,DAVID,PRESENTE,2018-04-24,4,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
LATERAL,FELIPE GUILHERME,PRESENTE,2018-04-24,3,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
MEIA,GERSON MAGRÃO,PRESENTE,2018-04-24,3,3370.0,189.0,59.7166666666667,5.0,298.583333333333,48.0,33.0,148.166666666667,6.0,,,,,,,,,Enderson Moreira
LATERAL,GIOVANI,PRESENTE,2018-04-24,3,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
ATACANTE,JUDIVAN,PRESENTE,2018-04-24,4,3557.0,67.0,59.7166666666667,5.0,298.583333333333,42.0,17.0,185.666666666667,6.0,,,,,,,,,Enderson Moreira
VOLANTE,JUNINHO,PRESENTE,2018-04-24,4,4921.0,297.0,59.7166666666667,5.0,298.583333333333,61.0,31.0,132.95,6.0,,,,,,,,,Enderson Moreira
VOLANTE,LEANDRO DONIZETE,PRESENTE,2018-04-24,4,3938.0,51.0,59.7166666666667,5.0,298.583333333333,61.0,17.0,181.933333333333,6.0,,,,,,,,,Enderson Moreira
ZAGUEIRO,LIMA,DM,2018-04-24,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
ATACANTE,LUAN,PRESENTE,2018-04-24,4,3740.0,185.0,59.7166666666667,4.0,238.866666666667,68.0,27.0,141.0,6.0,,,,,,,,,Enderson Moreira
ATACANTE,MARQUINHOS,PRESENTE,2018-04-24,4,3985.0,167.0,59.7166666666667,5.0,298.583333333333,68.0,25.0,130.416666666667,6.0,,,,,,,,,Enderson Moreira
ZAGUEIRO,MATHEUS FERRAZ,PRESENTE,2018-04-24,3,3801.0,88.0,59.7166666666667,5.0,298.583333333333,51.0,26.0,157.183333333333,6.0,,,,,,,,,Enderson Moreira
MEIA,MATHEUSINHO,DM,2018-04-24,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
ZAGUEIRO,MESSIAS,PRESENTE,2018-04-24,4,3362.0,57.0,59.7166666666667,5.0,298.583333333333,31.0,27.0,142.0,6.0,,,,,,,,,Enderson Moreira
LATERAL,NORBERTO,PRESENTE,2018-04-24,4,3503.0,143.0,59.7166666666667,4.0,238.866666666667,50.0,14.0,119.65,6.0,,,,,,,,,Enderson Moreira
ZAGUEIRO,RAFAEL LIMA,PRESENTE,2018-04-24,4,3355.0,104.0,59.7166666666667,5.0,298.583333333333,48.0,26.0,121.033333333333,6.0,,,,,,,,,Enderson Moreira
ATACANTE,RAFAEL MOURA,PRESENTE,2018-04-24,5,3550.0,184.0,59.7166666666667,6.0,358.3,27.0,23.0,150.983333333333,6.0,,,,,,,,,Enderson Moreira
MEIA,RENAN OLIVEIRA,PRESENTE,2018-04-24,3,3911.0,234.0,59.7166666666667,6.0,358.3,44.0,26.0,102.433333333333,6.0,,,,,,,,,Enderson Moreira
ZAGUEIRO,RICARDO,PRESENTE,2018-04-24,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
MEIA,RUY,PRESENTE,2018-04-24,4,3809.0,223.0,59.7166666666667,6.0,358.3,53.0,30.0,159.45,6.0,,,,,,,,,Enderson Moreira
MEIA,SERGINHO,DM,2018-04-24,,0.0,0.0,55.0,5.0,275.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
VOLANTE,WESLEY,PRESENTE,2018-04-24,3,3582.0,94.0,59.7166666666667,4.0,238.866666666667,38.0,27.0,138.083333333333,6.0,,,,,,,,,Enderson Moreira
VOLANTE,ZÉ RICARDO,PRESENTE,2018-04-24,4,4478.0,247.0,59.7166666666667,5.0,298.583333333333,62.0,31.0,187.8,6.0,,,,,,,,,Enderson Moreira
GOLEIRO,JORI,PRESENTE,2018-04-24,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
GOLEIRO,GLAUCO,PRESENTE,2018-04-24,3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
GOLEIRO,JOÃO RICARDO,PRESENTE,2018-04-24,3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
GOLEIRO,FERNANDO LEAL,DM,2018-04-24,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,,,,,,,,,Enderson Moreira
ATACANTE,ADEMIR,PRESENTE,2018-04-25,4,6042.0,198.0,102.0,4.0,408.0,77.0,25.0,0.0,5.0,,,,,,,,,Enderson Moreira
LATERAL,ADERLAN,PRESENTE,2018-04-25,3,5958.0,351.0,101.983333333333,5.0,509.916666666667,62.0,20.0,223.75,5.0,,,,,,,,,Enderson Moreira
ATACANTE,AYLON,PRESENTE,2018-04-25,5,6195.0,187.0,101.983333333333,6.0,611.9,72.0,25.0,187.633333333333,5.0,,,,,,,,,Enderson Moreira
ATACANTE,CAPIXABA,PRESENTE,2018-04-25,2,6042.0,198.0,102.0,7.0,714.0,77.0,25.0,0.0,5.0,,,,,,,,,Enderson Moreira
LATERAL,CARLINHOS,PRESENTE,2018-04-25,3,5568.0,148.0,101.983333333333,4.0,407.933333333333,64.0,26.0,209.65,5.0,,,,,,,,,Enderson Moreira
VOLANTE,CHRISTIAN,PRESENTE,2018-04-25,3,6496.0,202.0,101.983333333333,6.0,611.9,96.0,20.0,204.6,5.0,,,,,,,,,Enderson Moreira
VOLANTE,DAVID,PRESENTE,2018-04-25,5,6723.0,180.0,101.983333333333,7.0,713.883333333333,77.0,29.0,224.4,5.0,,,,,,,,,Enderson Moreira
