Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
1,sáb,2018-04-14,16:00,Cruzeiro,0–1,Grêmio,19.285,Estádio Governador Magalhães Pinto
1,sáb,2018-04-14,19:00,Vitória,2–2,Flamengo,12.669,Estádio Manoel Barradas
1,dom,2018-04-15,11:00,América (MG),3–0,Sport Recife,8.304,Estádio Raimundo Sampaio
1,dom,2018-04-15,16:00,Internacional,2–0,Bahia,16.663,Estádio José Pinheiro Borba
1,dom,2018-04-15,16:00,Corinthians,2–1,Fluminense,28.777,Arena Corinthians
1,dom,2018-04-15,16:00,Vasco da Gama,2–1,Atlético Mineiro,7.197,Estádio Club de Regatas Vasco da Gama
1,dom,2018-04-15,19:00,Ath Paranaense,5–1,Chapecoense,8.395,Estádio Joaquim Américo Guimarães
1,sáb,2018-04-14,21:00,Santos,2–0,Ceará,15.513,Estádio Manoel Barradas
1,seg,2018-04-16,20:00,Botafogo (RJ),1–1,Palmeiras,8.033,Estádio Nilton Santos
1,seg,2018-04-16,20:00,São Paulo,1–0,Paraná,11.327,Estádio do Morumbi
2,sáb,2018-04-21,16:00,Bahia,1–0,Santos,15.588,Itaipava Arena Fonte Nova
2,sáb,2018-04-21,19:00,Flamengo,2–0,América (MG),52.106,Estádio Luso-Brasileiro
2,dom,2018-04-22,11:00,Paraná,0–4,Corinthians,15.714,Estádio Durival de Brito e Silva
2,dom,2018-04-22,16:00,Ceará,0–0,São Paulo,30.186,Estádio Castelão
2,dom,2018-04-22,16:00,Chapecoense,1–1,Vasco da Gama,8.675,Arena Condá
2,dom,2018-04-22,16:00,Fluminense,1–0,Cruzeiro,10.016,Estadio Jornalista Mário Filho
2,dom,2018-04-22,16:00,Atlético Mineiro,2–1,Vitória,10.423,Estádio Raimundo Sampaio
2,dom,2018-04-22,16:00,Palmeiras,1–0,Internacional,25.504,Estádio do Pacaembú
2,dom,2018-04-22,19:00,Grêmio,0–0,Ath Paranaense,22.049,Arena do Grêmio
2,seg,2018-04-23,20:00,Sport Recife,1–1,Botafogo (RJ),7.083,Estádio Adelmar da Costa Carvalho
3,sáb,2018-04-28,16:00,Botafogo (RJ),2–1,Grêmio,10.748,Estádio Nilton Santos
3,dom,2018-04-29,16:00,Atlético Mineiro,1–0,Corinthians,19.825,Estádio Raimundo Sampaio
3,dom,2018-04-29,16:00,Ceará,0–3,Flamengo,52.962,Estádio Castelão
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
3,dom,2018-04-29,16:00,Fluminense,1–1,São Paulo,19.237,Estadio Jornalista Mário Filho
3,dom,2018-04-29,16:00,Bahia,0–0,Ath Paranaense,16.235,Itaipava Arena Fonte Nova
3,dom,2018-04-29,16:00,Paraná,1–2,Sport Recife,7.604,Estádio Durival de Brito e Silva
3,dom,2018-04-29,16:00,Palmeiras,0–0,Chapecoense,30.871,Allianz Parque
3,dom,2018-04-29,19:00,Internacional,0–0,Cruzeiro,20.913,Estádio José Pinheiro Borba
3,seg,2018-04-30,20:00,América (MG),2–1,Vitória,9.453,Estádio Raimundo Sampaio
4,sáb,2018-05-05,19:00,São Paulo,2–2,Atlético Mineiro,31.976,Estádio do Morumbi
4,sáb,2018-05-05,19:00,Vasco da Gama,4–1,América (MG),3.683,Estádio Club de Regatas Vasco da Gama
4,dom,2018-05-06,11:00,Corinthians,1–1,Ceará,40.350,Arena Corinthians
4,dom,2018-05-06,16:00,Cruzeiro,1–0,Botafogo (RJ),20.908,Estádio Governador Magalhães Pinto
4,dom,2018-05-06,16:00,Ath Paranaense,1–3,Palmeiras,19.077,Estádio Joaquim Américo Guimarães
4,dom,2018-05-06,16:00,Flamengo,2–0,Internacional,60.182,Estádio Luso-Brasileiro
4,dom,2018-05-06,16:00,Vitória,1–2,Fluminense,6.652,Estádio Manoel Barradas
4,dom,2018-05-06,19:00,Grêmio,5–1,Santos,25.779,Arena do Grêmio
4,dom,2018-05-06,19:00,Sport Recife,2–0,Bahia,15.165,Estádio Adelmar da Costa Carvalho
4,seg,2018-05-07,20:00,Chapecoense,1–1,Paraná,7.838,Arena Condá
5,sáb,2018-05-12,16:00,Grêmio,0–0,Internacional,48.035,Arena do Grêmio
5,dom,2018-05-13,11:00,Cruzeiro,2–0,Sport Recife,20.095,Estádio Governador Magalhães Pinto
5,dom,2018-05-13,16:00,Corinthians,1–0,Palmeiras,34.967,Arena Corinthians
5,dom,2018-05-13,16:00,Vasco da Gama,2–3,Vitória,3.542,Estádio Club de Regatas Vasco da Gama
5,dom,2018-05-13,16:00,Chapecoense,3–2,Flamengo,10.931,Arena Condá
5,dom,2018-05-13,16:00,Bahia,2–2,São Paulo,20.847,Itaipava Arena Fonte Nova
5,dom,2018-05-13,16:00,Ath Paranaense,1–2,Atlético Mineiro,7.505,Estádio Joaquim Américo Guimarães
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
5,dom,2018-05-13,19:00,Santos,3–1,Paraná,3.971,Estádio Urbano Caldeira
5,seg,2018-05-14,20:00,Ceará,2–2,América (MG),14.914,Estádio Castelão
5,seg,2018-05-14,20:00,Botafogo (RJ),2–1,Fluminense,10.382,Estádio Nilton Santos
,,,,,,,,
6,sáb,2018-05-19,16:00,Atlético Mineiro,1–0,Cruzeiro,15.384,Estádio Raimundo Sampaio
6,sáb,2018-05-19,19:00,Flamengo,1–1,Vasco da Gama,35.208,Estádio Luso-Brasileiro
6,dom,2018-05-20,11:00,Vitória,2–1,Ceará,8.371,Estádio Manoel Barradas
6,dom,2018-05-20,16:00,América (MG),1–0,Botafogo (RJ),6.052,Estádio Raimundo Sampaio
6,dom,2018-05-20,16:00,Paraná,0–0,Grêmio,7.776,Estádio Durival de Brito e Silva
6,dom,2018-05-20,16:00,Sport Recife,1–1,Corinthians,28.942,Estádio Adelmar da Costa Carvalho
6,dom,2018-05-20,16:00,São Paulo,1–0,Santos,40.565,Estádio do Morumbi
6,dom,2018-05-20,19:00,Fluminense,2–0,Ath Paranaense,9.172,Estadio Jornalista Mário Filho
6,sáb,2018-05-19,21:00,Palmeiras,3–0,Bahia,26.351,Allianz Parque
6,seg,2018-05-21,20:00,Internacional,3–0,Chapecoense,13.082,Estádio José Pinheiro Borba
,,,,,,,,
7,sáb,2018-05-26,16:00,Fluminense,3–1,Chapecoense,14.541,Estadio Jornalista Mário Filho
7,sáb,2018-05-26,19:00,Palmeiras,2–3,Sport Recife,25.947,Allianz Parque
7,dom,2018-05-27,11:00,Paraná,0–0,Ath Paranaense,6.446,Estádio Durival de Brito e Silva
7,dom,2018-05-27,16:00,Santos,0–1,Cruzeiro,10.670,Estádio Urbano Caldeira
7,dom,2018-05-27,16:00,Bahia,3–0,Vasco da Gama,15.031,Itaipava Arena Fonte Nova
7,dom,2018-05-27,16:00,Botafogo (RJ),1–1,Vitória,5.857,Estádio Nilton Santos
7,dom,2018-05-27,16:00,Internacional,2–1,Corinthians,28.627,Estádio José Pinheiro Borba
7,dom,2018-05-27,19:00,Ceará,0–1,Grêmio,14.995,Estádio Castelão
7,dom,2018-05-27,19:00,América (MG),1–3,São Paulo,4.360,Estádio Raimundo Sampaio
7,sáb,2018-05-26,21:00,Atlético Mineiro,0–1,Flamengo,15.797,Estádio Raimundo Sampaio
