Microcycle,Venue,Total_Matches,Wins,Draws,Losses,Win_Rate,Points_Per_Match,Goals_For,Goals_Against,Goal_Difference,Goals_For_Per_Match,Goals_Against_Per_Match
3.0,Away,4,0,0,4,0.0,0.0,1.0,7.0,-6.0,0.25,1.75
3.0,Home,5,3,1,1,60.0,2.0,7.0,6.0,1.0,1.4,1.2
4.0,Away,3,1,0,2,33.33333333333333,1.0,2.0,5.0,-3.0,0.6666666666666666,1.6666666666666667
4.0,Home,2,1,0,1,50.0,1.5,4.0,4.0,0.0,2.0,2.0
5.0,Away,1,0,0,1,0.0,0.0,0.0,1.0,-1.0,0.0,1.0
5.0,Home,2,1,0,1,50.0,1.5,2.0,2.0,0.0,1.0,1.0
6.0,Away,3,0,2,1,0.0,0.6666666666666666,2.0,3.0,-1.0,0.6666666666666666,1.0
6.0,Home,4,1,2,1,25.0,1.25,6.0,4.0,2.0,1.5,1.0
7.0,Away,2,1,1,0,50.0,2.0,2.0,1.0,1.0,1.0,0.5
7.0,Home,5,2,3,0,40.0,1.8,3.0,1.0,2.0,0.6,0.2
8.0,Away,3,0,0,3,0.0,0.0,0.0,6.0,-6.0,0.0,2.0
9.0,Away,2,0,0,2,0.0,0.0,1.0,6.0,-5.0,0.5,3.0
