Data,Horário,Dia,Local,GP,GC,Oponente,Posse,Rodada
2018-04-15,11:00,dom,Em casa,3,0,Sport Recife,39,1
2018-04-21,19:00,sáb,Visitante,0,2,Flamengo,51,2
2018-04-30,20:00,seg,Em casa,2,1,Vitória,41,3
2018-05-05,19:00,sáb,Visitante,1,4,Vasco da Gama,34,4
2018-05-14,20:00,seg,Visitante,2,2,Ceará,35,5
2018-05-20,16:00,dom,Em casa,1,0,Botafogo (RJ),43,6
2018-05-27,19:00,dom,Em casa,1,3,São Paulo,55,7
2018-05-31,18:00,qui,Visitante,0,1,Corinthians,40,8
2018-06-03,16:00,dom,Em casa,3,1,Ath Paranaense,43,9
2018-06-07,21:00,qui,Em casa,1,3,Atlético Mineiro,47,10
2018-06-10,16:00,dom,Visitante,0,1,Grêmio,38,11
2018-06-13,16:00,qua,Em casa,0,0,Chapecoense,50,12
2018-07-19,19:30,qui,Visitante,1,3,Cruzeiro,47,13
2018-07-22,16:00,dom,Visitante,0,1,Paraná,62,14
2018-07-26,20:00,qui,Em casa,2,1,Internacional,43,15
2018-07-29,19:00,dom,Visitante,1,0,Santos,27,16
2018-08-05,16:00,dom,Em casa,0,0,Palmeiras,51,17
2018-08-11,19:00,sáb,Visitante,0,1,Bahia,52,18
2018-08-19,19:00,dom,Em casa,0,0,Fluminense,53,19
2018-08-22,21:00,qua,Visitante,2,0,Sport Recife,47,20
2018-08-26,16:00,dom,Em casa,2,2,Flamengo,51,21
2018-09-01,16:00,sáb,Visitante,0,1,Vitória,43,22
2018-09-06,20:00,qui,Em casa,2,1,Vasco da Gama,45,23
2018-09-09,16:00,dom,Em casa,0,0,Ceará,59,24
2018-09-16,11:00,dom,Visitante,0,1,Botafogo (RJ),53,25
2018-09-22,16:00,sáb,Visitante,1,1,São Paulo,50,26
2018-09-29,19:00,sáb,Em casa,0,0,Corinthians,39,27
2018-10-06,16:00,sáb,Visitante,0,4,Ath Paranaense,37,28
2018-10-14,19:00,dom,Visitante,0,0,Atlético Mineiro,41,29
2018-10-20,16:00,sáb,Em casa,1,1,Grêmio,52,30
2018-10-27,20:00 (19:00),sáb,Visitante,0,1,Chapecoense,60,31
2018-11-04,17:00,dom,Em casa,1,2,Cruzeiro,54,32
2018-11-10,17:00,sáb,Em casa,0,1,Paraná,65,33
2018-11-15,21:00,qui,Visitante,0,2,Internacional,53,34
2018-11-18,17:00,dom,Em casa,2,1,Santos,49,35
2018-11-21,21:45,qua,Visitante,0,4,Palmeiras,51,36
2018-11-25,19:00,dom,Em casa,1,0,Bahia,47,37
2018-12-02,17:00,dom,Visitante,0,1,Fluminense,57,38
