,Total_Games,Home_Wins,Home_Losses,Home_Draws,Away_Wins,Away_Losses,Away_Draws,Home_Goals_Scored,Home_Goals_Conceded,Away_Goals_Scored,Away_Goals_Conceded,Longest_Win_Streak,Longest_Loss_Streak,Win_Rate,Home_Win_Rate,Away_Win_Rate,Goal_Difference
Flamengo,38,14,3,2,7,5,7,30.0,8.0,29.0,21.0,4,2,55.26,73.68,36.84,30.0
Bahia,38,10,2,7,2,12,5,27.0,13.0,12.0,28.0,4,5,31.58,52.63,10.53,-2.0
Grêmio,38,12,2,5,6,6,7,36.0,14.0,12.0,13.0,5,1,47.37,63.16,31.58,21.0
Corinthians,38,9,2,8,2,14,3,19.0,12.0,15.0,23.0,2,4,28.95,47.37,10.53,-1.0
Santos,38,9,4,6,4,10,5,28.0,14.0,18.0,26.0,3,4,34.21,47.37,21.05,6.0
Vitória,38,7,7,5,2,12,5,22.0,24.0,14.0,39.0,3,5,23.68,36.84,10.53,-27.0
Botafogo (RJ),38,10,2,7,3,11,5,22.0,14.0,16.0,32.0,4,3,34.21,52.63,15.79,-8.0
Fluminense,38,9,5,5,3,12,4,17.0,11.0,15.0,35.0,2,5,31.58,47.37,15.79,-14.0
América (MG),38,8,4,7,2,14,3,22.0,17.0,8.0,30.0,3,4,26.32,42.11,10.53,-17.0
São Paulo,38,10,1,8,6,6,7,25.0,13.0,21.0,21.0,5,2,42.11,52.63,31.58,12.0
Atlético Mineiro,38,12,3,4,5,10,4,31.0,15.0,25.0,28.0,3,4,44.74,63.16,26.32,13.0
Sport Recife,38,8,5,6,3,13,3,19.0,17.0,16.0,40.0,3,10,28.95,42.11,15.79,-22.0
Ceará,38,7,4,8,3,10,6,18.0,16.0,14.0,22.0,3,2,26.32,36.84,15.79,-6.0
Vasco da Gama,38,9,5,5,1,10,8,29.0,24.0,12.0,24.0,2,3,26.32,47.37,5.26,-7.0
Internacional,38,14,1,4,5,6,8,32.0,10.0,19.0,19.0,4,2,50.0,73.68,26.32,22.0
Ath Paranaense,38,14,3,2,2,10,7,44.0,14.0,10.0,23.0,12,4,42.11,73.68,10.53,17.0
Paraná,38,3,6,10,1,17,1,13.0,23.0,5.0,34.0,2,14,10.53,15.79,5.26,-39.0
Palmeiras,38,16,1,2,7,3,9,42.0,13.0,22.0,13.0,13,2,60.53,84.21,36.84,38.0
Chapecoense,38,10,4,5,1,12,6,24.0,16.0,10.0,34.0,3,4,28.95,52.63,5.26,-16.0
Cruzeiro,38,11,4,4,3,9,7,25.0,14.0,9.0,20.0,3,2,36.84,57.89,15.79,0.0
